title,url,english_title,author,publisher,publication_date,selling_price,original_price,discount_rate,sales_index,review_count,rating,tags,description
된다! 하루 만에 끝내는 제미나이 활용법,https://www.yes24.com/product/goods/163301895,"보고서, 이미지 생성 등 70가지 예제 수록! 노트북LM, 구글 AI 스튜디오, 나노 바나나를 한 권에!",권서림,이지스퍼블리싱,2025년 11월,18000,20000,10.0,92187,62,9.8,"#분철, #AI, #AI사용법, #AI이미지, #AI활용콘텐츠","업무·SNS·일상 어디든 활용할 수 있는 70가지 예제로 제미나이를 쉽게 배운다!스마트폰 속 제미나이 앱과 노트북LM, 구글 AI 스튜디오까지 200% 활용하자!이 책은 AI에 쉽게 적응하고 싶은 초보자를 위한 제미나이 ..."
요즘 바이브 코딩 안티그래비티 완벽 가이드,https://www.yes24.com/product/goods/174658020,"구글 AI, 제미나이, 스티치, 프롬프트 엔지니어링, 인공지능 에이전트, RAG, 프론트엔드, PRD, TDD, 클린 아키텍처, 리팩터링, 챗봇, 블로그, 랜딩 페이지 더 빠르고 더 견고한 프로그램을 만드는 원리와 방법",최지호,골든래빗,2026년 02월,25200,28000,10.0,26106,2,10.0,#분철,"구글의 야심작 안티그래비티! 0원으로 시작하는 바이브 코딩!UI 디자인, TDD와 클린 아키텍처, 수익형 서비스까지 5가지 실전 예제로 완성하는 최강 레시피!제미나이, 클로드, GPT까지 AI 에이전트 군단을 지휘하는 ..."
누구나 아는 나만 모르는 제미나이,https://www.yes24.com/product/goods/172517063,"세상에서 가장 쉬운 제미나이 & AI 입문서 | Gemini, 구글 워크스페이스, Gems, 노트북LM, 나노바나나 프로, 구글 AI 스튜디오, Veo 3.1, 믹스보드",이성원,한빛미디어,2026년 01월,17100,19000,10.0,26031,11,10.0,"#제미나이, #AI, #AI관련서, #생성형AI, #AI사용법","왕초보를 위한 세상에서 가장 쉬운 제미나이 & AI 입문서!제미나이 3 최신 버전으로 학습한다!구글이 만든 요즘 대세 AI 제미나이, 이 책은 IT에 서툰 분도 단숨에 제미나이를 다룰 수 있도록 세상에서 가장 쉽고 친..."
"AI 시대의 질문력, 프롬프트 엔지니어링",https://www.yes24.com/product/goods/150566390,,류한석,코리아닷컴(Korea.com),2025년 08월,24300,27000,10.0,59490,44,9.5,"#분철, #클로드, #제미나이, #생성형AI, #챗GPT",대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다....
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이",https://www.yes24.com/product/goods/169849422,"수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!",안익재,앤써북,2025년 12월,17820,19800,10.0,17682,84,10.0,,"요즘 교사들이 가장 많이 사용하는 5가지 에듀테크를 수업과 업무 완성에 어떻게 활용했고, 어떻게 활용할 수 있는지 50가지 주제별 실습과 100가지 실제 활용 사례와 활용 방법을 통해 배운다. 이 책은 요즘 교사들..."
피지컬 AI 메가 트렌드,https://www.yes24.com/product/goods/176004735,,최홍섭,위즈덤하우스,2026년 01월,20700,23000,10.0,8286,21,9.9,,"*고동진 삼성전자 전 대표이사, 궤도 과학 커뮤니케이터, 문용식 전 NIPA 원장,이해민 국회의원, 최경진 한국인공지능법학회 회장 강력 추천*엔디비아와 테슬라, 오픈AI는왜 피지컬 AI를 미래 핵심 비즈니스로 삼았..."
요즘 바이브 코딩 클로드 코드 완벽 가이드,https://www.yes24.com/product/goods/151850127,"요금제 선택, CLAUDE.md, Opus, Sonnet, 모델 선택, MCP, PRD, 깃허브 워크플로, UI 프로토타이핑, 인증 구현, 슬래시 커맨드, supabase 연동, 테스트, 배포, 슈퍼 클로드, ccusage, 클로디아 느낌이 좋은 프로그램",최지호,골든래빗,2025년 09월,21600,24000,10.0,30378,18,8.4,"#크레마클럽에있어요, #분철, #클로드코드, #코딩AI, #코딩","★ 200달러 MAX 플랜으로 매일 10시간씩 실험하여 얻은 노하우를 모두 담았다!★ 어디에도 없는 클로드 코드 최강 팁과 노하우, 레시피를 빠르게 알고 싶다면?★ 이 책으로 천상계에서 개발하는 진짜 바이브 코더가 ..."
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/145426898,"챗GPT부터 캔바, 구글 스프레드시트, API 연동까지",박진환,한빛미디어,2025년 05월,18000,20000,10.0,94893,65,9.8,"#에듀테크, #미래교육, #챗GPT, #인공지능","2022 개정 교육과정에 맞춘 실전 에듀테크 활용서챗GPT, 구글 스프레드시트, 캔바, 퍼플렉시티, 클로드, LilysAI, Jungle AI, Sora, NotebookLM, Napkin AI 등 최신 AI 도구가 이 한권에! 생활기록부, 평가 계획 작..."
된다! 하루 만에 끝내는 챗GPT 활용법,https://www.yes24.com/product/goods/146955725,인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,18000,20000,10.0,37668,97,9.4,"#크레마클럽에있어요, #분철",GPT 분야 3 년 연속 베스트셀러! 최신 버전 GPT-4.1 반영!초보자도 1 시간이면 바로 사용 가능! 업무부터 자기 계발까지 챗 GPT 에게 일 시키고 시간 버는 법!챗 GPT 입문 분야 베스트셀러인 『된다! 하루 만에 끝내...
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,https://www.yes24.com/product/goods/167400825,"포토샵 없이 제미나이로 5초 컷! 씨드림, 미드저니, 소라, 위스크까지 나만의 AI 사진관 한 권으로 끝내기",쌩초,골든래빗,2025년 12월,16920,18800,10.0,18366,82,10.0,"#크레마클럽에있어요, #분철","★ ‘나노바나나 프로’ 미친 활용! 클릭 몇 번으로 이렇게 달라진다고!★ 나노바나나를 200% 활용하는 ‘쌩초’의 비포/애프터 레시피 대방출!★ 포토샵 없이, 스튜디오 촬영 없이 만드는 71가지 고퀄리티 사진★ ..."
